building_id,Sanierungszustand,A_NGF_m2,Ht_W_per_K,Q_kW_mittleres,Q_kW_kaltes,Q_kW_heisses
DEBBAL520000wbkq,teilsaniert,260.7,471.28,12.24668,11.97899,8.83367
DEBBAL520000wbSq,unsaniert,212.63,388.3,14.2117,13.90106,10.251059999999999
DEBBAL520000wbkI,teilsaniert,13.6,69.41,1.80367,1.76425,1.30101
DEBBAL520000wbbA,vollsaniert,2.36,16.04,0.15202000000000002,0.14817,0.10295
DEBBAL520000wbmr,unsaniert,19.3,62.06,2.2715300000000003,2.22188,1.63848
DEBBAL520000wbn2,unsaniert,90.53,567.16,19.62378,19.17005,13.83873
DEBBAL520000wbSN,unsaniert,169.87,344.46,12.60735,12.33178,9.09383
DEBBAL520000wbV1,unsaniert,3.07,14.62,0.4621,0.45041000000000003,0.31294
DEBBAL520000wbl4,vollsaniert,14.35,74.94,0.6429900000000001,0.62501,0.41367000000000004
DEBBAL520000wbWX,unsaniert,175.97,319.85,11.70638,11.4505,8.443950000000001
DEBBAL520000wbTO,unsaniert,215.27,421.18,15.415149999999999,15.0782,11.11912
DEBBAL520000wbTv,vollsaniert,179.63,393.39,4.3194,4.2249799999999995,3.11563
DEBBAL520000wbVz,unsaniert,149.99,333.59,12.20931,11.942440000000001,8.806719999999999
DEBBAL520000wbph,unsaniert,148.05,247.41,9.05505,8.85713,6.53151
DEBBAL520000wbYD,teilsaniert,341.81,590.02,15.33229,14.99716,11.05936
DEBBAL520000wbkS,teilsaniert,159.9,316.99,8.237200000000001,8.05715,5.94158
DEBBAL01000bZnI1,unsaniert,169.33,336.58,12.31883,12.04956,8.88571
DEBBAL520000wbVX,vollsaniert,13.6,55.3,0.60724,0.59396,0.43801
DEBBAL520000wbRM,vollsaniert,69.68,275.59,2.86065,2.7945100000000003,2.01734
DEBBAL520000wbUU,unsaniert,4.49,30.48,1.1154300000000001,1.09104,0.80457
DEBBAL520000wbV9,teilsaniert,6.93,32.22,0.83739,0.81909,0.60402
DEBBAL520000wbcc,vollsaniert,26.43,89.93,0.98742,0.96584,0.71224
DEBBAL520000wbT7,teilsaniert,116.55,312.93,8.13181,7.95407,5.86557
DEBBAL520000wbcD,vollsaniert,36.55,119.54,1.31257,1.2838800000000001,0.94677
DEBBAL520000wbS2,teilsaniert,152.1,316.59,8.226790000000001,8.04697,5.93408
DEBBAL520000wbl2,vollsaniert,11.76,64.09,0.5498999999999999,0.53452,0.35378
DEBBAL520000wbcF,vollsaniert,25.42,116.6,1.2802799999999999,1.2523,0.92348
DEBBAL520000wbV4,unsaniert,1.89,15.86,0.58037,0.56769,0.41863
DEBBAL520000wbTI,teilsaniert,162.88,350.65,9.11205,8.91288,6.57263
DEBBAL520000wbbn,teilsaniert,113.55,211.68,5.50067,5.380439999999999,3.9677
DEBBAL520000wblq,unsaniert,141.55,286.94,10.5019,10.272350000000001,7.57514
DEBBAL520000wbVu,unsaniert,253.75,390.73,14.30073,13.98814,10.315280000000001
DEBBAL520000wbYE,unsaniert,13.43,63.88,2.2101100000000002,2.1590100000000003,1.5585799999999999
DEBBAL520000wblb,unsaniert,202.59,456.07,16.692040000000002,16.32719,12.04016
DEBBAL520000wbVM,vollsaniert,99.72,218.82,2.40265,2.35013,1.73306
